Dimension 1,Dimension 2,Slug,Title
-3.9366422,-0.6863521,alters--und-bestandesstruktur-der-wälder---forstbetriebskarte-2005-umweltatlas,Alters- und Bestandesstruktur der Wälder - Forstbetriebskarte 2005 (Umweltatlas)
-3.857959,-0.8987351,alters--und-bestandesstruktur-der-wälder---forstbetriebskarte-2014-umweltatlas,Alters- und Bestandesstruktur der Wälder - Forstbetriebskarte 2014 (Umweltatlas)
-3.8613262,-0.87958926,alters--und-bestandesstruktur-der-wälder---forstbetriebskarte-2014-umweltatlas,Alters- und Bestandesstruktur der Wälder - Forstbetriebskarte 2014 (Umweltatlas)
68.28418,16.437098,altersarmut-2014---v2,Altersarmut 2014 - V2
7.7899036,-47.04205,straßenbefahrung---rampe,Straßenbefahrung - Rampe
67.76702,15.9548025,altersarmut-2014,Altersarmut 2014
68.08634,16.656895,altersarmut-2016---v2,Altersarmut 2016 - V2
67.71134,16.376549,altersarmut-2016,Altersarmut 2016
68.48156,16.335949,altersarmut-2018---v2,Altersarmut 2018 - V2
68.04624,15.8682,altersarmut-2018,Altersarmut 2018
68.80684,15.711889,altersarmut-2020,Altersarmut 2020
61.551746,22.071627,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2016---v-2,Arbeitslose unter 25 Jahren (Jugendarbeitslosigkeit) 2016 - V 2
16.207924,-44.779636,straßenbefahrung---recycling-container,Straßenbefahrung - Recycling-Container
10.008702,-46.330605,straßenbefahrung---schranke,Straßenbefahrung - Schranke
10.72954,-40.785686,straßenbefahrung---sitzbank,Straßenbefahrung - Sitzbank
-42.351135,2.027662,änderungen-an-isu-flächen---fortschreibung-2020-umweltatlas,Änderungen an ISU-Flächen - Fortschreibung 2020 (Umweltatlas)
56.230972,18.553724,arbeitslose-veränderung-2013-2014---v-2,Arbeitslose: Veränderung 2013-2014 - V 2
-42.3521,2.023685,änderungen-an-isu-flächen---fortschreibung-2021-umweltatlas,Änderungen an ISU-Flächen - Fortschreibung 2021 (Umweltatlas)
-9.599397,-24.155972,apothekenstandorte,Apothekenstandorte
-9.580777,-24.164734,apothekenstandorte,Apothekenstandorte
61.472057,22.500057,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2014---v-2,Arbeitslose unter 25 Jahren (Jugendarbeitslosigkeit) 2014 - V 2
61.552406,22.465775,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2014,Arbeitslose unter 25 Jahren (Jugendarbeitslosigkeit) 2014
60.248756,18.567932,arbeitslosenanteil-2016,Arbeitslosenanteil 2016
11.506418,-42.09776,straßenbefahrung---spielgerät,Straßenbefahrung - Spielgerät
61.600098,22.070402,arbeitslose-unter-25-jahren-jugendarbeitslosigkeit-2016,Arbeitslose unter 25 Jahren (Jugendarbeitslosigkeit) 2016
56.189396,18.545856,arbeitslose-veränderung-2013-2014,Arbeitslose: Veränderung 2013-2014
56.80033,18.611443,arbeitslose-veränderung-2015-2016---v-2,Arbeitslose: Veränderung 2015-2016 - V 2
56.82796,18.587421,arbeitslose-veränderung-2015-2016,Arbeitslose: Veränderung 2015-2016
60.431232,18.617926,arbeitslosenanteil-2014---v2,Arbeitslosenanteil 2014 - V2
60.522194,18.53403,arbeitslosenanteil-2014,Arbeitslosenanteil 2014
60.222492,18.637098,arbeitslosenanteil-2016---v2,Arbeitslosenanteil 2016 - V2
17.106419,-39.751522,straßenbefahrung---springbrunnen-zierbrunnen,Straßenbefahrung - Springbrunnen Zierbrunnen
58.71839,20.865984,arbeitslosigkeit-2018---v2,Arbeitslosigkeit 2018 - V2
58.80537,20.779718,arbeitslosigkeit-2018,Arbeitslosigkeit 2018
58.2477,21.538673,arbeitslosigkeit-2020---v2,Arbeitslosigkeit 2020 - V2
58.2627,21.628544,arbeitslosigkeit-2020,Arbeitslosigkeit 2020
-28.040241,-47.853977,archäologische-fundstellen-und-bodendenkmale-aisber,Archäologische Fundstellen und Bodendenkmale (AISBer)
-27.989359,-47.921673,archäologische-fundstellen-und-bodendenkmale-aisber,Archäologische Fundstellen und Bodendenkmale (AISBer)
-22.278385,25.44848,archivfunktion-der-böden-für-die-naturgeschichte-1990-umweltatlas,Archivfunktion der Böden für die Naturgeschichte 1990 (Umweltatlas)
-22.16688,25.252274,archivfunktion-der-böden-für-die-naturgeschichte-2001-umweltatlas,Archivfunktion der Böden für die Naturgeschichte 2001 (Umweltatlas)
9.960104,-46.117813,straßenbefahrung---straßenbegrenzung,Straßenbefahrung - Straßenbegrenzung
-22.239073,25.109774,archivfunktion-der-böden-für-die-naturgeschichte-2005-umweltatlas,Archivfunktion der Böden für die Naturgeschichte 2005 (Umweltatlas)
-40.26011,66.04064,bodenrichtwerte-01012023,Bodenrichtwerte 01.01.2023
-22.405642,25.2358,archivfunktion-der-böden-für-die-naturgeschichte-2010-umweltatlas,Archivfunktion der Böden für die Naturgeschichte 2010 (Umweltatlas)
-22.417866,25.010464,archivfunktion-der-böden-für-die-naturgeschichte-2015-umweltatlas,Archivfunktion der Böden für die Naturgeschichte 2015 (Umweltatlas)
-13.606853,-24.318129,polizeidirektionen-und-abschnitte,Polizeidirektionen und Abschnitte
-64.234344,19.246159,art-der-kanalisation-2001-umweltatlas,Art der Kanalisation 2001 (Umweltatlas)
-64.2089,19.214918,art-der-kanalisation-2005-umweltatlas,Art der Kanalisation 2005 (Umweltatlas)
-63.844296,18.850937,art-der-kanalisation-2012-umweltatlas,Art der Kanalisation 2012 (Umweltatlas)
-63.99945,19.059908,art-der-kanalisation-2017-umweltatlas,Art der Kanalisation 2017 (Umweltatlas)
-29.43044,20.31861,bodenarten-2015-umweltatlas,Bodenarten 2015 (Umweltatlas)
-44.51228,-45.869293,atkis-wald-fläche,ATKIS Wald (Fläche)
-48.502426,-59.27462,atkis-bahnstrecke-linien,ATKIS Bahnstrecke (Linien)
-47.865356,-51.66738,atkis-bahnverkehr-fläche,ATKIS Bahnverkehr (Fläche)
-47.62557,-52.282013,atkis-bahnverkehrsanlage-fläche,ATKIS Bahnverkehrsanlage (Fläche)
-47.927273,-54.850582,atkis-bahnverkehrsanlage-punkte,ATKIS Bahnverkehrsanlage (Punkte)
-46.717564,-56.760345,atkis-basis-dlm--präsentationsdienst,ATKIS Basis-DLM  (Präsentationsdienst)
-44.68747,-55.846455,atkis-bauwerk-im-gewässerbereich-fläche,ATKIS Bauwerk im Gewässerbereich (Fläche)
-44.716393,-56.046627,atkis-bauwerk-im-gewässerbereich-linien,ATKIS Bauwerk im Gewässerbereich (Linien)
-44.636623,-55.921265,atkis-bauwerk-im-gewässerbereich-punkte,ATKIS Bauwerk im Gewässerbereich (Punkte)
-45.98979,-54.279633,atkis-bauwerk-im-verkehrsbereich-fläche,ATKIS Bauwerk im Verkehrsbereich (Fläche)
-45.97642,-55.114304,atkis-bauwerk-im-verkehrsbereich-linien,ATKIS Bauwerk im Verkehrsbereich (Linien)
-46.045307,-54.96133,atkis-bauwerk-im-verkehrsbereich-punkte,ATKIS Bauwerk im Verkehrsbereich (Punkte)
-43.738247,-53.699802,atkis-bauwerk-oder-anlage-für-industrie-und-gewerbe-fläche,ATKIS Bauwerk oder Anlage für Industrie und Gewerbe (Fläche)
13.924879,-42.744602,straßenbefahrung---straßenentwässerungsrinne,Straßenbefahrung - Straßenentwässerungsrinne
15.078058,-46.876495,straßenbefahrung---strassensinkkasten,Straßenbefahrung - Strassensinkkasten
-43.60683,-54.07946,atkis-bauwerk-oder-anlage-für-industrie-und-gewerbe-linien,ATKIS Bauwerk oder Anlage für Industrie und Gewerbe (Linien)
-43.5727,-54.13517,atkis-bauwerk-oder-anlage-für-industrie-und-gewerbe-punkte,ATKIS Bauwerk oder Anlage für Industrie und Gewerbe (Punkte)
-42.320488,-52.69109,atkis-bauwerk-oder-anlage-für-sport-freizeit-und-erholung-fläche,"ATKIS Bauwerk oder Anlage für Sport, Freizeit und Erholung (Fläche)"
-42.249496,-52.999706,atkis-bauwerk-oder-anlage-für-sport-freizeit-und-erholung-linien,"ATKIS Bauwerk oder Anlage für Sport, Freizeit und Erholung (Linien)"
-41.155262,-49.42727,atkis-denkmalschutzrecht-fläche,ATKIS Denkmalschutzrecht (Fläche)
-40.76849,-49.97948,atkis-denkmalschutzrecht-linien,ATKIS Denkmalschutzrecht (Linien)
-40.73996,-49.694332,atkis-denkmalschutzrecht-punkte,ATKIS Denkmalschutzrecht (Punkte)
-40.160145,-29.27067,atkis-dgm---digitales-geländemodell--,ATKIS® DGM - Digitales Geländemodell -
-48.884495,-55.42137,atkis-einrichtungen-für-den-schiffsverkehr-punkte,ATKIS Einrichtungen für den Schiffsverkehr (Punkte)
-48.449528,-59.885868,atkis-fahrbahnachse-linien,ATKIS Fahrbahnachse (Linien)
-48.457783,-59.948116,atkis-fahrwegachse-linien,ATKIS Fahrwegachse (Linien)
-48.274178,-46.14163,atkis-fläche-besonderer-funktionaler-prägung-geschlossen-fläche,ATKIS Fläche besonderer funktionaler Prägung geschlossen (Fläche)
15.8842,-44.776947,straßenbefahrung---streugutbehälter,Straßenbefahrung - Streugutbehälter
12.619406,-40.91314,straßenbefahrung---taxirufsäule,Straßenbefahrung - Taxirufsäule
-48.330387,-54.153164,atkis-flugverkehrsanlage-punkte,ATKIS Flugverkehrsanlage (Punkte)
-48.27261,-46.14795,atkis-fläche-besonderer-funktionaler-prägung-offen-fläche,ATKIS Fläche besonderer funktionaler Prägung offen (Fläche)
-47.03179,-47.26783,atkis-fläche-gemischter-nutzung-geschlossen-fläche,ATKIS Fläche gemischter Nutzung geschlossen (Fläche)
-47.062454,-47.26024,atkis-fläche-gemischter-nutzung-offen-fläche,ATKIS Fläche gemischter Nutzung offen (Fläche)
-50.354137,-48.533142,atkis-fließgewässer-fläche,ATKIS Fließgewässer (Fläche)
-48.57121,-51.990776,atkis-flugverkehr-fläche,ATKIS Flugverkehr (Fläche)
-48.43265,-52.52152,atkis-flugverkehrsanlage-fläche,ATKIS Flugverkehrsanlage (Fläche)
13.236269,-40.170486,straßenbefahrung---telefonzelle-telefonstele,Straßenbefahrung - Telefonzelle Telefonstele
-45.555565,-48.05978,atkis-friedhof-fläche,ATKIS Friedhof (Fläche)
-47.12208,-61.277336,atkis-gebietsgrenze-linien,ATKIS Gebietsgrenze (Linien)
-44.480526,-45.760925,atkis-gehölz-fläche,ATKIS Gehölz (Fläche)
-46.78494,-59.8909,atkis-gewässerachse-linien,ATKIS Gewässerachse (Linien)
-46.821487,-59.812,atkis-gewässerstationierungsachse-linien,ATKIS Gewässerstationierungsachse (Linien)
-51.068237,-50.607193,atkis-hafen-fläche,ATKIS Hafen (Fläche)
-51.11725,-50.56283,atkis-hafenbecken-fläche,ATKIS Hafenbecken (Fläche)
-42.048912,-55.16443,atkis-historisches-bauwerk-oder-historische-einrichtung-punkte,ATKIS Historisches Bauwerk oder historische Einrichtung (Punkte)
-47.269653,-61.197548,atkis-höhenlinie-linien,ATKIS Höhenlinie (Linien)
-45.081875,-50.242107,atkis-industrie-und-gewerbefläche-fläche,ATKIS Industrie und Gewerbefläche (Fläche)
-44.364437,-48.72718,atkis-insel-fläche,ATKIS Insel (Fläche)
-44.188244,-48.64978,atkis-kommunales-gebiet-fläche,ATKIS Kommunales Gebiet (Fläche)
-44.29233,-47.196636,atkis-landwirtschaft-fläche,ATKIS Landwirtschaft (Fläche)
-47.661102,-58.887108,atkis-leitung-linien,ATKIS Leitung (Linien)
-44.18521,-44.73608,atkis-moor-fläche,ATKIS Moor (Fläche)
-40.541203,-48.531025,atkis-natur-umwelt-oder-bodenschutzrecht-fläche,"ATKIS Natur, Umwelt oder Bodenschutzrecht (Fläche)"
-40.413746,-48.56488,atkis-natur-umwelt-oder-bodenschutzrecht-punkte,"ATKIS Natur, Umwelt oder Bodenschutzrecht (Punkte)"
-44.815575,-48.51615,atkis-ortslage-fläche,ATKIS Ortslage (Fläche)
-45.194996,-48.379833,atkis-platz-fläche,ATKIS Platz (Fläche)
8.711893,-41.310883,straßenbefahrung---touchpoint,Straßenbefahrung - Touchpoint
6.739562,-44.942467,straßenbefahrung---trennstreifen,Straßenbefahrung - Trennstreifen
7.8688087,-46.70225,straßenbefahrung---treppe,Straßenbefahrung - Treppe
-47.9198,-54.90163,atkis-straßenverkehrsanlage-punkte,ATKIS Straßenverkehrsanlage (Punkte)
-48.457794,-58.358704,atkis-schifffahrtslinie-fährverkehr-linien,"ATKIS Schifffahrtslinie, Fährverkehr (Linien)"
-49.64565,-51.27512,atkis-schiffsverkehr-fläche,ATKIS Schiffsverkehr (Fläche)
-50.041634,-50.92178,atkis-schleuse-fläche,ATKIS Schleuse (Fläche)
-42.716366,-49.00076,atkis-schutzzone-fläche,ATKIS Schutzzone (Fläche)
-49.26907,-58.69832,atkis-seilbahn-und-schwebebahn-linien,ATKIS Seilbahn und Schwebebahn (Linien)
-42.55357,-55.808586,atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-linien,ATKIS Sonstiges Bauwerk oder sonstige Einrichtung (Linien)
17.202278,-39.911278,straßenbefahrung---trinkwasserbrunnen-wasserspender,Straßenbefahrung - Trinkwasserbrunnen Wasserspender
9.82796,-42.229008,straßenbefahrung---uhr,Straßenbefahrung - Uhr
11.596029,-46.124466,straßenbefahrung---verkehrsschutzgitter,Straßenbefahrung - Verkehrsschutzgitter
-42.45921,-55.664486,atkis-sonstiges-bauwerk-oder-sonstige-einrichtung-punkte,ATKIS Sonstiges Bauwerk oder sonstige Einrichtung (Punkte)
-42.40904,-51.928272,atkis-sport-freizeit-und-erholungsfläche-fläche,"ATKIS Sport, Freizeit und Erholungsfläche (Fläche)"
-50.36943,-48.511616,atkis-stehendes-gewässer-fläche,ATKIS Stehendes Gewässer (Fläche)
-48.458202,-60.24997,atkis-straßenachse-linien,ATKIS Straßenachse (Linien)
-47.896667,-51.331947,atkis-straßenverkehr-fläche,ATKIS Straßenverkehr (Fläche)
-45.031857,-52.218487,atkis-turm-punkte,ATKIS Turm (Punkte)
-45.331543,-45.666656,atkis-sumpf-fläche,ATKIS Sumpf (Fläche)
-45.982983,-49.77507,atkis-tagebau-grube-steinbruch-fläche,"ATKIS Tagebau, Grube, Steinbruch (Fläche)"
-47.733524,-52.7065,atkis-transportanlage-fläche,ATKIS Transportanlage (Fläche)
-47.924793,-56.746143,atkis-transportanlage-linien,ATKIS Transportanlage (Linien)
-48.13462,-55.48093,atkis-transportanlage-punkte,ATKIS Transportanlage (Punkte)
-45.08371,-52.02934,atkis-turm-fläche,ATKIS Turm (Fläche)
-48.93022,-60.54642,atkis-weg-pfad-steig-linien,"ATKIS Weg, Pfad, Steig (Linien)"
-43.739483,-46.660217,atkis-unland-vegetationslose-fläche-fläche,"ATKIS Unland, vegetationslose Fläche (Fläche)"
-43.012035,-45.722836,atkis-vegetationsmerkmal-fläche,ATKIS Vegetationsmerkmal (Fläche)
-42.104927,-45.47841,atkis-vegetationsmerkmal-linien,ATKIS Vegetationsmerkmal (Linien)
-42.270058,-45.53232,atkis-vegetationsmerkmal-punkte,ATKIS Vegetationsmerkmal (Punkte)
-52.294918,-53.979156,atkis-vorratsbehälter-speicherbauwerk-fläche,"ATKIS Vorratsbehälter, Speicherbauwerk (Fläche)"
-52.28286,-54.011265,atkis-vorratsbehälter-speicherbauwerk-punkte,"ATKIS Vorratsbehälter, Speicherbauwerk (Punkte)"
6.5327377,-42.817738,straßenbefahrung---verkehrszeichen,Straßenbefahrung - Verkehrszeichen
7.039328,-42.932007,straßenbefahrung---viz-infotafel,Straßenbefahrung - VIZ-Infotafel
17.193747,-39.896046,straßenbefahrung---wasserpumpen-brunnen,Straßenbefahrung - Wasserpumpen Brunnen
-47.494137,-48.169186,atkis-wohnbaufläche-geschlossen-fläche,ATKIS Wohnbaufläche geschlossen (Fläche)
-47.550148,-48.173954,atkis-wohnbaufläche-offen-fläche,ATKIS Wohnbaufläche offen (Fläche)
2.9044774,-36.481247,aufgrabeverbote,Aufgrabeverbote
2.8952243,-36.469536,aufgrabeverbote,Aufgrabeverbote
12.282471,-41.31053,straßenbefahrung---werbesäule,Straßenbefahrung - Werbesäule
12.135626,-44.453217,straßenbefahrung---zugangsbauwerk,Straßenbefahrung - Zugangsbauwerk
10.838668,-43.780186,straßenbefahrung-2014,Straßenbefahrung 2014
73.484535,-5.699834,ausländeranteil-2014---v-2,Ausländeranteil 2014 - V 2
3.6412795,-70.16757,co2-emissionen-durch-anlagen-nach-dem-treibhausgas-emissionshandelsgesetz-tehg,CO2-Emissionen durch Anlagen nach dem Treibhausgas-Emissionshandelsgesetz TEHG
73.62306,-5.74061,ausländeranteil-2014,Ausländeranteil 2014
73.69804,-5.0529733,ausländeranteil-2016---v-2,Ausländeranteil 2016 - V 2
73.79656,-5.1239386,ausländeranteil-2016,Ausländeranteil 2016
72.12779,-5.211368,ausländeranteil-veränderung-2013-2014---v-2,Ausländeranteil: Veränderung 2013-2014 - V 2
72.084595,-5.402336,ausländeranteil-veränderung-2013-2014,Ausländeranteil: Veränderung 2013-2014
72.499985,-4.715705,ausländeranteil-veränderung-2015-2016---v-2,Ausländeranteil: Veränderung 2015-2016 - V 2
72.49017,-4.8772926,ausländeranteil-veränderung-2015-2016,Ausländeranteil: Veränderung 2015-2016
74.72061,-3.098657,ausländerinnen-und-ausländer-2018---v2,Ausländerinnen und Ausländer 2018 - V2
74.658035,-3.1852543,ausländerinnen-und-ausländer-2018,Ausländerinnen und Ausländer 2018
75.147644,-2.7149143,ausländerinnen-und-ausländer-2020---v2,Ausländerinnen und Ausländer 2020 - V2
75.0809,-2.7968438,ausländerinnen-und-ausländer-2020,Ausländerinnen und Ausländer 2020
61.878914,-1.1981605,ausländische-transferbeziehende-sgb-ii-2014---v-2,Ausländische Transferbeziehende (SGB II) 2014 - V 2
61.921642,-1.2048433,ausländische-transferbeziehende-sgb-ii-2014,Ausländische Transferbeziehende (SGB II) 2014
62.077484,-0.5270995,ausländische-transferbeziehende-sgb-ii-2016---v-2,Ausländische Transferbeziehende (SGB II) 2016 - V 2
-35.200764,-24.945568,boden-im-inspire-datenmodell-bodenkundliche-kennwerte-2015,Boden im INSPIRE-Datenmodell (Bodenkundliche Kennwerte 2015)
-28.871832,-26.780525,bodenbedeckung-im-inspire-datenmodell-alkis,Bodenbedeckung im INSPIRE-Datenmodell (ALKIS)
-4.66873,-19.468369,denkmale,Denkmale
62.113068,-0.5750452,ausländische-transferbeziehende-sgb-ii-2016,Ausländische Transferbeziehende (SGB II) 2016
61.46574,-0.31527096,ausländische-transferbeziehende-sgb-ii-2018---v2,Ausländische Transferbeziehende (SGB II) 2018 - V2
61.57083,-0.45083636,ausländische-transferbeziehende-sgb-ii-2018,Ausländische Transferbeziehende (SGB II) 2018
61.119423,-0.8546352,ausländische-transferbeziehende-sgb-ii-2020---v2,Ausländische Transferbeziehende (SGB II) 2020 - V2
61.18563,-0.88297254,ausländische-transferbeziehende-sgb-ii-2020,Ausländische Transferbeziehende (SGB II) 2020
-34.85533,27.64442,austauschhäufigkeit-des-bodenwassers-1990-umweltatlas,Austauschhäufigkeit des Bodenwassers 1990 (Umweltatlas)
-35.13959,27.792679,austauschhäufigkeit-des-bodenwassers-2001-umweltatlas,Austauschhäufigkeit des Bodenwassers 2001 (Umweltatlas)
-35.332554,27.642303,austauschhäufigkeit-des-bodenwassers-2005-umweltatlas,Austauschhäufigkeit des Bodenwassers 2005 (Umweltatlas)
-35.0845,27.624264,austauschhäufigkeit-des-bodenwassers-2010-umweltatlas,Austauschhäufigkeit des Bodenwassers 2010 (Umweltatlas)
-35.500908,27.546656,austauschhäufigkeit-des-bodenwassers-2015-umweltatlas,Austauschhäufigkeit des Bodenwassers 2015 (Umweltatlas)
-33.564434,32.362602,basensättigung-des-oberbodens-1990-umweltatlas,Basensättigung des Oberbodens 1990 (Umweltatlas)
19.142996,-5.3236747,baufertigstellungen-2012-2020,Baufertigstellungen 2012-2020
18.791115,-5.405477,baufertigstellungen,Baufertigstellungen
-19.632534,-6.316441,baugrundkarte-spandau,Baugrundkarte (Spandau)
-19.62305,-6.4294453,baugrundkarte,Baugrundkarte
-4.3494334,-9.761994,baumbestand-berlin---anlagenbäume---sachdaten-zur-karte,Baumbestand Berlin - Anlagenbäume - Sachdaten zur Karte
-4.0715957,-9.878726,baumbestand-berlin---anlagenbäume,Baumbestand Berlin - Anlagenbäume
-4.34054,-9.527587,baumbestand-berlin---straßenbäume---sachdaten-zur-karte,Baumbestand Berlin - Straßenbäume - Sachdaten zur Karte
-4.112607,-9.614716,baumbestand-berlin---straßenbäume,Baumbestand Berlin - Straßenbäume
-3.6013653,-9.828055,baumbestand-berlin,Baumbestand Berlin
-14.802758,-12.252261,baunutzungsplan,Baunutzungsplan
-41.18836,-27.475367,bdom---bildbasiertes-digitales-oberflächenmodell--,bDOM - bildbasiertes Digitales Oberflächenmodell -
-14.136105,-12.521179,bebauungspläne-vorhabenbezogene-bebauungspläne-geltungsbereiche,"Bebauungspläne, vorhabenbezogene Bebauungspläne (Geltungsbereiche)"
